#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Function Category,Rank,Actual Start Date,Actual Due Date,External Id,FS Update,FS Update Category,Schedule Impact,Estimated Impact,Actual Impact,Current Assignee,Discovered Test Process,Occurrence Condition,Cause Identified on,Cause Classification,Insertion Phase,Related member,Completion Condition,Assignee on Vendor side,Free text_1,Free text_2,Free text_3,Free numeric value_1,Free numeric value_2,Free numeric value_3,Private,Description
7105,4865_Post DRAGON Core Development,Bug,"",New,High,B054- Failed,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/04/2016 02:10 PM,"","",04/04/2016,"","",0,0,04/04/2016 02:10 PM,"","",Batch / ???,A,"","",B000054,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"B054 failed..

Please find the attached log."
7104,4865_Post DRAGON Core Development,Bug,"",New,High,S-048- NO response in screen while OCF validation operation & save operation,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/04/2016 03:26 PM,"","",04/04/2016,"","",0,0,04/04/2016 01:53 PM,"","",Screen / ??,A,"","",S048,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"S-048- NO response in screen while OCF validation operation & save operation.
Please find the attached  step by step screen shots and server logs.

Note : Unable to execute B54"
7099,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S036- All the buttons are disabled except save,GAYATHRI CHANDRAMOULI,VICTOR-JOHN PAUL,04/04/2016 05:19 PM,"","",04/04/2016,"","",0,50,04/04/2016 11:51 AM,"","","",B,"","",S036,No,"",No,"","",RNTBCI,?????/Integration Test,"","","","","","","","","","","","","",No,"In S036, Unable to search the data as all the buttons are disabled except save button.
Still I have data in service parameter master."
7095,4865_Post DRAGON Core Development,Bug,"",New,Normal,S025:Regression issue for S025(Indicus_508),NIKHIL RUIKAR,ARIF AHMED,04/04/2016 01:17 PM,"","",04/04/2016,04/05/2016,"",0,0,04/04/2016 10:29 AM,"","",Screen / ??,A,"","",S025,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","",Regression,"","","","","",No,"S025:Regression issue for S025

1.Navigate to this screen
2.Select POR=66 in ""Check Creation Batch Result"" section
3.Now,clean values in ""Batch Request From"" and ""Batch Request To "" fields.
4.Click on Check Creation Batch Result button.

Actual: After step4,""Check Creation Batch Result"" section is vanished from screen.

5.Now,Click on Create N+3 Onwards EIM Forecast button.

Actual:After step5,Validation messages are not shown for mandatory selection."
7094,4865_Post DRAGON Core Development,Bug,"",New,Normal,S027:Warning message needs to be corrected for OTBM as per design document.(Indicus_507),NIKHIL RUIKAR,SOUNDERARAJAN DASHINA,04/04/2016 01:17 PM,"","",04/04/2016,04/11/2016,"",0,0,04/04/2016 10:27 AM,"","",Screen / ??,C,"","",S027,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S027:Warning message needs to be corrected for OTBM
Req is as follows:
 CONDITION                                     
  MONTHLY_ORDER_TAKE_BASE_PERIOD_MST.POR_CD=[P0002 - SELECTED POR_CD] AND    
  MONTHLY_ORDER_TAKE_BASE_PERIOD_MST.STAGE_CD <>""SC""               
 If ORDER_TAKE_BASE_MONTH does not exist for the selected POR_CD, display the warning message.   
                                  
  Message ID M00217                              
  Message  There is no  &1  Stage found in &2  for  POR =&3                              
  Parameter1 &1:Ongoing Draft or Final Stage; &2:MONTHLY_ORDER_TAKE_BASE_PERIOD_MST &3:[P0002- SELECTED POR_CD]                              
  Type   Warning                              
Actual: This req is not fulfilled.
Expected: This req should be fulfilled"
7093,4865_Post DRAGON Core Development,Bug,"",New,Normal,S027:Irrelevent message shown on click of Cancel.(Indicus_506),NIKHIL RUIKAR,SOUNDERARAJAN DASHINA,04/04/2016 01:17 PM,"","",04/04/2016,04/11/2016,"",0,0,04/04/2016 10:24 AM,"","",Screen / ??,C,"","",S027,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S027:Irrelevent message shown on click of Cancel.
1.Perform any valid search.
2.Click on Cancel.(""Please Modify the Record before update ""message will be shown)

Above message is irrelevant since user has clicked on Cancel.
Expected: Hence, message should be modified/removed as per common standard that applies in this case."
7086,4865_Post DRAGON Core Development,Bug,"",New,High,R000020 - Error occurred while performing Report function,JUNICHI FUJITA,SAMBIT BEDANTA,04/01/2016 06:44 PM,"","",04/01/2016,"","",0,0,04/01/2016 06:44 PM,"","",Report-List / ??,A,"","",R000020,No,"",No,"","",RNTBCI,?????/Integration Test,"","","","","","",THAMIZHANBAN GOKULAKRISHNAN,"","","","","","",No,"*Error occurred while performing Reporting function

Please find the attached log and screen shot.*"
7085,4865_Post DRAGON Core Development,Bug,"",New,High,"S026- Download not possble for ""order""",NIKHIL RUIKAR,JAIKUMAR VELLINGIRI,04/01/2016 05:16 PM,"","",04/01/2016,04/04/2016,"",0,0,04/01/2016 05:12 PM,"","",Screen / ??,A,"","",S026,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"when ""order"" is selected as download item. nothing is being downloaded. and no error also shown. 
Please look into the issue. "
7079,4865_Post DRAGON Core Development,Bug,"",New,High,S057- Error occurred while performing the search operation.,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 02:41 PM,"","",04/01/2016,"","",0,0,04/01/2016 02:41 PM,"","",Screen / ??,A,"","",S057,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Error occurred while performing the search operation.

Please find the attached log and screen shot."
7075,4865_Post DRAGON Core Development,Bug,"",New,Normal,S051- Search result not populated,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 01:22 PM,"","",04/01/2016,"","",0,0,04/01/2016 01:22 PM,"","",Screen / ??,B,"","",S051,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"S051- Search result not populated if user id given in lower case .

Please find the attached screen shot."
